fieldName, varName
Gene, Main_gene
Consequence, CGI_consequences
AA Change, 
Position, position
Pop freq gnomAD exome, Maximum_Population_Frequency 
GL REF reads, num_germline_REF
GL ALT reads, num_germline_ALT
T REF reads, 
T ALT reads
CGI oncodriveMUT status, CGI_driver
CGI annotation, CGI_annotation
CADD score, CGI_CADD_Phed
SIFT, Variant_effect_SIFT
MutationTaster, Variant_effect_Mutation_Taster
MetaLR, Variant_effect_MetalR
FATTHM,Variant_effect_FATTHM
Variant position in ClinVar,Variant_position_in_Clinvar
Variant position in Cosmic v82, Variant_position_in_Cosmic_v82
Variant position in dbSNP147, Variant_position_in_dbSNP147

